YEAR,FARMS,STATE,FARM_CHANGE,FARM_PCT_CHANGE
1997,49872,ALABAMA,NA,NA
1997,548,ALASKA,NA,NA
1997,8507,ARIZONA,NA,NA
1997,49493,ARKANSAS,NA,NA
1997,87991,CALIFORNIA,NA,NA
1997,30197,COLORADO,NA,NA
1997,4905,CONNECTICUT,NA,NA
1997,2671,DELAWARE,NA,NA
1997,45808,FLORIDA,NA,NA
1997,49343,GEORGIA,NA,NA
1997,5473,HAWAII,NA,NA
1997,25590,IDAHO,NA,NA
1997,79112,ILLINOIS,NA,NA
1997,66707,INDIANA,NA,NA
1997,96705,IOWA,NA,NA
1997,65476,KANSAS,NA,NA
1997,91198,KENTUCKY,NA,NA
1997,30425,LOUISIANA,NA,NA
1997,7404,MAINE,NA,NA
1997,13254,MARYLAND,NA,NA
1997,7307,MASSACHUSETTS,NA,NA
1997,53519,MICHIGAN,NA,NA
1997,78755,MINNESOTA,NA,NA
1997,42150,MISSISSIPPI,NA,NA
1997,110986,MISSOURI,NA,NA
1997,27632,MONTANA,NA,NA
1997,54539,NEBRASKA,NA,NA
1997,3198,NEVADA,NA,NA
1997,3928,NEW HAMPSHIRE,NA,NA
1997,10045,NEW JERSEY,NA,NA
1997,17876,NEW MEXICO,NA,NA
1997,38264,NEW YORK,NA,NA
1997,59120,NORTH CAROLINA,NA,NA
1997,32348,NORTH DAKOTA,NA,NA
1997,78737,OHIO,NA,NA
1997,84028,OKLAHOMA,NA,NA
1997,39975,OREGON,NA,NA
1997,60222,PENNSYLVANIA,NA,NA
1997,994,RHODE ISLAND,NA,NA
1997,25807,SOUTH CAROLINA,NA,NA
1997,33191,SOUTH DAKOTA,NA,NA
1997,91536,TENNESSEE,NA,NA
1997,228173,TEXAS,NA,NA
1997,15810,UTAH,NA,NA
1997,7063,VERMONT,NA,NA
1997,49366,VIRGINIA,NA,NA
1997,40113,WASHINGTON,NA,NA
1997,21531,WEST VIRGINIA,NA,NA
1997,79541,WISCONSIN,NA,NA
1997,9443,WYOMING,NA,NA
2002,45126,ALABAMA,-4746,-0.09516361886429259
2002,609,ALASKA,61,0.11131386861313869
2002,7294,ARIZONA,-1213,-0.14258845656518163
2002,47483,ARKANSAS,-2010,-0.04061180368941062
2002,79631,CALIFORNIA,-8360,-0.09500971690286507
2002,31369,COLORADO,1172,0.03881180249693678
2002,4191,CONNECTICUT,-714,-0.145565749235474
2002,2391,DELAWARE,-280,-0.10482965181579933
2002,44081,FLORIDA,-1727,-0.037700838281522875
2002,49311,GEORGIA,-32,-6.485215734754676e-4
2002,5398,HAWAII,-75,-0.013703636031427005
2002,25017,IDAHO,-573,-0.022391559202813598
2002,73027,ILLINOIS,-6085,-0.07691627060370108
2002,60296,INDIANA,-6411,-0.09610685535251173
2002,90655,IOWA,-6050,-0.06256139806628407
2002,64414,KANSAS,-1062,-0.01621968354817032
2002,86541,KENTUCKY,-4657,-0.0510647163314985
2002,27413,LOUISIANA,-3012,-0.09899753492193919
2002,7196,MAINE,-208,-0.028092922744462453
2002,12198,MARYLAND,-1056,-0.07967406066093255
2002,6075,MASSACHUSETTS,-1232,-0.16860544683180512
2002,53315,MICHIGAN,-204,-0.00381173041349801
2002,80839,MINNESOTA,2084,0.026461811948447718
2002,42186,MISSISSIPPI,36,8.540925266903915e-4
2002,106797,MISSOURI,-4189,-0.037743499180076766
2002,27870,MONTANA,238,0.008613202084539664
2002,49355,NEBRASKA,-5184,-0.0950512477309815
2002,2989,NEVADA,-209,-0.06535334584115073
2002,3363,NEW HAMPSHIRE,-565,-0.14383910386965376
2002,9924,NEW JERSEY,-121,-0.012045793927327028
2002,15170,NEW MEXICO,-2706,-0.15137614678899083
2002,37255,NEW YORK,-1009,-0.026369433409993728
2002,53930,NORTH CAROLINA,-5190,-0.08778755074424899
2002,30619,NORTH DAKOTA,-1729,-0.053449981451712626
2002,77797,OHIO,-940,-0.011938478732997193
2002,83300,OKLAHOMA,-728,-0.00866377874041986
2002,40033,OREGON,58,0.0014509068167604753
2002,58105,PENNSYLVANIA,-2117,-0.03515326624821494
2002,858,RHODE ISLAND,-136,-0.13682092555331993
2002,24541,SOUTH CAROLINA,-1266,-0.04905645755027706
2002,31736,SOUTH DAKOTA,-1455,-0.043837184779006354
2002,87595,TENNESSEE,-3941,-0.04305409893375284
2002,228926,TEXAS,753,0.003300127534809114
2002,15282,UTAH,-528,-0.0333965844402277
2002,6571,VERMONT,-492,-0.06965878521874558
2002,47606,VIRGINIA,-1760,-0.035652068225094195
2002,35939,WASHINGTON,-4174,-0.10405604168224765
2002,20812,WEST VIRGINIA,-719,-0.03339371139287539
2002,77131,WISCONSIN,-2410,-0.030298839592160016
2002,9422,WYOMING,-21,-0.002223869532987398
2007,48753,ALABAMA,3627,0.08037495013960909
2007,686,ALASKA,77,0.12643678160919541
2007,15637,ARIZONA,8343,1.1438168357554155
2007,49346,ARKANSAS,1863,0.039235094665459214
2007,81033,CALIFORNIA,1402,0.017606208637339728
2007,37054,COLORADO,5685,0.18122987662979376
2007,4916,CONNECTICUT,725,0.17298973991887379
2007,2546,DELAWARE,155,0.06482643245503973
2007,47463,FLORIDA,3382,0.07672239740477757
2007,47846,GEORGIA,-1465,-0.029709395469570684
2007,7521,HAWAII,2123,0.3932938125231567
2007,25349,IDAHO,332,0.01327097573649918
2007,76860,ILLINOIS,3833,0.05248743615375135
2007,60938,INDIANA,642,0.010647472469152182
2007,92856,IOWA,2201,0.024278859412056698
2007,65531,KANSAS,1117,0.01734095072499767
2007,85260,KENTUCKY,-1281,-0.01480223246784761
2007,30106,LOUISIANA,2693,0.098238062233247
2007,8136,MAINE,940,0.13062812673707616
2007,12834,MARYLAND,636,0.05213969503197245
2007,7691,MASSACHUSETTS,1616,0.2660082304526749
2007,56014,MICHIGAN,2699,0.05062365188033387
2007,80992,MINNESOTA,153,0.001892650824478284
2007,41959,MISSISSIPPI,-227,-0.005380932062769639
2007,107825,MISSOURI,1028,0.009625738550708354
2007,29524,MONTANA,1654,0.059346968066020814
2007,47712,NEBRASKA,-1643,-0.03328943369466113
2007,3131,NEVADA,142,0.04750752760120441
2007,4166,NEW HAMPSHIRE,803,0.23877490336009516
2007,10327,NEW JERSEY,403,0.04060862555421201
2007,20930,NEW MEXICO,5760,0.37969676994067236
2007,36352,NEW YORK,-903,-0.024238357267480876
2007,52913,NORTH CAROLINA,-1017,-0.01885777860189134
2007,31970,NORTH DAKOTA,1351,0.04412293020673438
2007,75861,OHIO,-1936,-0.024885278352635706
2007,86565,OKLAHOMA,3265,0.03919567827130852
2007,38553,OREGON,-1480,-0.03696950016236605
2007,63163,PENNSYLVANIA,5058,0.08704930728852939
2007,1219,RHODE ISLAND,361,0.42074592074592077
2007,25867,SOUTH CAROLINA,1326,0.05403202803471741
2007,31169,SOUTH DAKOTA,-567,-0.017866145702041845
2007,79280,TENNESSEE,-8315,-0.09492550944688624
2007,247437,TEXAS,18511,0.08086019062928632
2007,16700,UTAH,1418,0.09278890197618113
2007,6984,VERMONT,413,0.06285192512555167
2007,47383,VIRGINIA,-223,-0.0046842834936772675
2007,39284,WASHINGTON,3345,0.09307437602604413
2007,23618,WEST VIRGINIA,2806,0.13482606188737267
2007,78463,WISCONSIN,1332,0.017269321025268698
2007,11069,WYOMING,1647,0.1748036510295054
2012,43223,ALABAMA,-5530,-0.11342891719483929
2012,762,ALASKA,76,0.11078717201166181
2012,20005,ARIZONA,4368,0.2793374688239432
2012,45071,ARKANSAS,-4275,-0.08663316175576541
2012,77857,CALIFORNIA,-3176,-0.03919390865449878
2012,36180,COLORADO,-874,-0.023587197063744805
2012,5977,CONNECTICUT,1061,0.21582587469487388
2012,2451,DELAWARE,-95,-0.03731343283582089
2012,47740,FLORIDA,277,0.005836124981564587
2012,42257,GEORGIA,-5589,-0.11681227270827238
2012,7000,HAWAII,-521,-0.06927270309799229
2012,24816,IDAHO,-533,-0.021026470472207976
2012,75087,ILLINOIS,-1773,-0.02306791569086651
2012,58695,INDIANA,-2243,-0.03680790311464111
2012,88637,IOWA,-4219,-0.045435943827000946
2012,61773,KANSAS,-3758,-0.05734690451847217
2012,77064,KENTUCKY,-8196,-0.09612948627726953
2012,28093,LOUISIANA,-2013,-0.0668637480900817
2012,8173,MAINE,37,0.004547689282202556
2012,12256,MARYLAND,-578,-0.04503662147420913
2012,7755,MASSACHUSETTS,64,0.008321414640488883
2012,52194,MICHIGAN,-3820,-0.06819723640518442
2012,74542,MINNESOTA,-6450,-0.07963749506124061
2012,38076,MISSISSIPPI,-3883,-0.09254272027455374
2012,99171,MISSOURI,-8654,-0.08025968003709714
2012,28008,MONTANA,-1516,-0.051348055818994716
2012,49969,NEBRASKA,2257,0.04730466130114017
2012,4137,NEVADA,1006,0.3213030980517407
2012,4391,NEW HAMPSHIRE,225,0.05400864138262122
2012,9071,NEW JERSEY,-1256,-0.1216229301830154
2012,24721,NEW MEXICO,3791,0.18112756808408983
2012,35537,NEW YORK,-815,-0.02241967429577465
2012,50218,NORTH CAROLINA,-2695,-0.05093266305066808
2012,30961,NORTH DAKOTA,-1009,-0.031560838285893025
2012,75462,OHIO,-399,-0.005259619567366631
2012,80245,OKLAHOMA,-6320,-0.07300872176976839
2012,35439,OREGON,-3114,-0.08077192436386274
2012,59309,PENNSYLVANIA,-3854,-0.061016734480629484
2012,1243,RHODE ISLAND,24,0.019688269073010665
2012,25266,SOUTH CAROLINA,-601,-0.023234236672207833
2012,31989,SOUTH DAKOTA,820,0.026308190830633002
2012,68050,TENNESSEE,-11230,-0.14164984863773966
2012,248809,TEXAS,1372,0.005544845758718381
2012,18027,UTAH,1327,0.07946107784431138
2012,7338,VERMONT,354,0.0506872852233677
2012,46030,VIRGINIA,-1353,-0.02855454487896503
2012,37249,WASHINGTON,-2035,-0.051802260462274714
2012,21489,WEST VIRGINIA,-2129,-0.09014311118638327
2012,69754,WISCONSIN,-8709,-0.11099499126977047
2012,11736,WYOMING,667,0.06025837925738549
2017,40592,ALABAMA,-2631,-0.06087036994192906
2017,990,ALASKA,228,0.2992125984251969
2017,19086,ARIZONA,-919,-0.04593851537115721
2017,42625,ARKANSAS,-2446,-0.05426992966652615
2017,70521,CALIFORNIA,-7336,-0.09422402609913046
2017,38893,COLORADO,2713,0.0749861802100608
2017,5521,CONNECTICUT,-456,-0.07629245440856618
2017,2302,DELAWARE,-149,-0.06079151366789066
2017,47590,FLORIDA,-150,-0.003142019271051529
2017,42439,GEORGIA,182,0.0043069787254182736
2017,7328,HAWAII,328,0.046857142857142854
2017,24996,IDAHO,180,0.007253384912959381
2017,72651,ILLINOIS,-2436,-0.03244236685444884
2017,56649,INDIANA,-2046,-0.03485816509072323
2017,86104,IOWA,-2533,-0.028577230727574263
2017,58569,KANSAS,-3204,-0.05186732067408091
2017,75966,KENTUCKY,-1098,-0.014247897851136717
2017,27386,LOUISIANA,-707,-0.025166411561598975
2017,7600,MAINE,-573,-0.07010889514254252
2017,12429,MARYLAND,173,0.014115535248041775
2017,7241,MASSACHUSETTS,-514,-0.06627981947130883
2017,47641,MICHIGAN,-4553,-0.0872322489175001
2017,68822,MINNESOTA,-5720,-0.07673526334147192
2017,34988,MISSISSIPPI,-3088,-0.0811009559827713
2017,95320,MISSOURI,-3851,-0.03883191658851882
2017,27048,MONTANA,-960,-0.03427592116538132
2017,46332,NEBRASKA,-3637,-0.07278512677860273
2017,3423,NEVADA,-714,-0.17258883248730963
2017,4123,NEW HAMPSHIRE,-268,-0.06103393304486449
2017,9883,NEW JERSEY,812,0.08951604012788006
2017,25044,NEW MEXICO,323,0.013065814489705108
2017,33438,NEW YORK,-2099,-0.0590651996510679
2017,46418,NORTH CAROLINA,-3800,-0.07567007845792345
2017,26364,NORTH DAKOTA,-4597,-0.1484771163722102
2017,77805,OHIO,2343,0.031048739763059552
2017,78531,OKLAHOMA,-1714,-0.021359586267057137
2017,37616,OREGON,2177,0.06142949857501623
2017,53157,PENNSYLVANIA,-6152,-0.10372793336593097
2017,1043,RHODE ISLAND,-200,-0.16090104585679807
2017,24791,SOUTH CAROLINA,-475,-0.018799968336895432
2017,29968,SOUTH DAKOTA,-2021,-0.06317796742630279
2017,69983,TENNESSEE,1933,0.02840558412931668
2017,248416,TEXAS,-393,-0.0015795248564159656
2017,18409,UTAH,382,0.021190436567371164
2017,6808,VERMONT,-530,-0.07222676478604524
2017,43225,VIRGINIA,-2805,-0.060938518357592876
2017,35793,WASHINGTON,-1456,-0.03908829767242074
2017,23622,WEST VIRGINIA,2133,0.09926008655591233
2017,64793,WISCONSIN,-4961,-0.07112136938383462
2017,11938,WYOMING,202,0.017211997273346966
