STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CIRCUIT_NUM
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,11TH
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,11TH
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,11TH
ALASKA,ALASKA,AK,NINTH CIRCUIT,9TH
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,9TH
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,8TH
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,8TH
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,9TH
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,9TH
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,9TH
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,9TH
COLORADO,COLORADO,CO,TENTH CIRCUIT,10TH
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,2ND
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3RD
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,DC
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,11TH
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,11TH
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,11TH
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,11TH
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,11TH
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,11TH
GUAM,GUAM,GUAM,NINTH CIRCUIT,9TH
HAWAII,HAWAII,HI,NINTH CIRCUIT,9TH
IDAHO,IDAHO,ID,NINTH CIRCUIT,9TH
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,7TH
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,7TH
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,7TH
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,7TH
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,7TH
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,8TH
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,8TH
KANSAS,KANSAS,KS,TENTH CIRCUIT,10TH
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,6TH
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,6TH
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,5TH
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,5TH
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,5TH
MAINE,MAINE,ME,FIRST CIRCUIT,1ST
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,4TH
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,1ST
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,6TH
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,6TH
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,8TH
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,5TH
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,5TH
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,8TH
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,8TH
MONTANA,MONTANA,MT,NINTH CIRCUIT,9TH
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,8TH
NEVADA,NEVADA,NV,NINTH CIRCUIT,9TH
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1ST
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,3RD
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,10TH
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,2ND
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,2ND
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,2ND
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,2ND
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,4TH
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,4TH
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,4TH
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,8TH
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,9TH
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,6TH
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,6TH
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,10TH
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,10TH
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,10TH
OREGON,OREGON,OR,NINTH CIRCUIT,9TH
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,3RD
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,3RD
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,3RD
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,1ST
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,1ST
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,4TH
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,8TH
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,6TH
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,6TH
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,6TH
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,5TH
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,5TH
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,5TH
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,5TH
UTAH,UTAH,UT,TENTH CIRCUIT,10TH
VERMONT,VERMONT,VT,SECOND CIRCUIT,2ND
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,4TH
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,4TH
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,3RD
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,9TH
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,9TH
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,4TH
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,4TH
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,7TH
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,7TH
WYOMING,WYOMING,WY,TENTH CIRCUIT,10TH
