STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE,FISCAL_YEAR
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,9,09/30/95,1995-09-30,1995
,TOTAL,,TOTAL,931,09/30/94,1994-09-30,1994
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,09/30/94,1994-09-30,1994
,TOTAL,,FIRST CIRCUIT,17,09/30/94,1994-09-30,1994
MAINE,MAINE,ME,FIRST CIRCUIT,1,09/30/94,1994-09-30,1994
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,4,09/30/94,1994-09-30,1994
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1,09/30/94,1994-09-30,1994
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,09/30/94,1994-09-30,1994
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,11,09/30/94,1994-09-30,1994
,TOTAL,,SECOND CIRCUIT,39,09/30/94,1994-09-30,1994
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,6,09/30/94,1994-09-30,1994
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,20,09/30/94,1994-09-30,1994
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,2,09/30/94,1994-09-30,1994
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,0,09/30/94,1994-09-30,1994
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,3,09/30/94,1994-09-30,1994
VERMONT,VERMONT,VT,SECOND CIRCUIT,8,09/30/94,1994-09-30,1994
,TOTAL,,THIRD CIRCUIT,13,09/30/94,1994-09-30,1994
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,09/30/94,1994-09-30,1994
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,1,09/30/94,1994-09-30,1994
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,2,09/30/94,1994-09-30,1994
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,4,09/30/94,1994-09-30,1994
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,6,09/30/94,1994-09-30,1994
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,09/30/94,1994-09-30,1994
,TOTAL,,FOURTH CIRCUIT,39,09/30/94,1994-09-30,1994
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,3,09/30/94,1994-09-30,1994
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,16,09/30/94,1994-09-30,1994
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,0,09/30/94,1994-09-30,1994
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,1,09/30/94,1994-09-30,1994
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,6,09/30/94,1994-09-30,1994
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,8,09/30/94,1994-09-30,1994
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,2,09/30/94,1994-09-30,1994
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,3,09/30/94,1994-09-30,1994
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,09/30/94,1994-09-30,1994
,TOTAL,,FIFTH CIRCUIT,123,09/30/94,1994-09-30,1994
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,0,09/30/94,1994-09-30,1994
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,3,09/30/94,1994-09-30,1994
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,46,09/30/94,1994-09-30,1994
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,9,09/30/94,1994-09-30,1994
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,3,09/30/94,1994-09-30,1994
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,35,09/30/94,1994-09-30,1994
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,11,09/30/94,1994-09-30,1994
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,7,09/30/94,1994-09-30,1994
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,9,09/30/94,1994-09-30,1994
,TOTAL,,SIXTH CIRCUIT,96,09/30/94,1994-09-30,1994
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,2,09/30/94,1994-09-30,1994
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,10,09/30/94,1994-09-30,1994
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,14,09/30/94,1994-09-30,1994
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,20,09/30/94,1994-09-30,1994
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,13,09/30/94,1994-09-30,1994
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,15,09/30/94,1994-09-30,1994
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,13,09/30/94,1994-09-30,1994
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,6,09/30/94,1994-09-30,1994
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,3,09/30/94,1994-09-30,1994
,TOTAL,,SEVENTH CIRCUIT,111,09/30/94,1994-09-30,1994
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,6,09/30/94,1994-09-30,1994
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,19,09/30/94,1994-09-30,1994
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,10,09/30/94,1994-09-30,1994
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,11,09/30/94,1994-09-30,1994
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,22,09/30/94,1994-09-30,1994
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,7,09/30/94,1994-09-30,1994
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,36,09/30/94,1994-09-30,1994
,TOTAL,,EIGHTH CIRCUIT,190,09/30/94,1994-09-30,1994
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,11,09/30/94,1994-09-30,1994
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,13,09/30/94,1994-09-30,1994
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,9,09/30/94,1994-09-30,1994
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,2,09/30/94,1994-09-30,1994
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,25,09/30/94,1994-09-30,1994
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,9,09/30/94,1994-09-30,1994
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,15,09/30/94,1994-09-30,1994
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,48,09/30/94,1994-09-30,1994
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,27,09/30/94,1994-09-30,1994
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,31,09/30/94,1994-09-30,1994
,TOTAL,,NINTH CIRCUIT,160,09/30/94,1994-09-30,1994
ALASKA,ALASKA,AK,NINTH CIRCUIT,1,09/30/94,1994-09-30,1994
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,12,09/30/94,1994-09-30,1994
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,14,09/30/94,1994-09-30,1994
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,45,09/30/94,1994-09-30,1994
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,11,09/30/94,1994-09-30,1994
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,5,09/30/94,1994-09-30,1994
HAWAII,HAWAII,HI,NINTH CIRCUIT,2,09/30/94,1994-09-30,1994
IDAHO,IDAHO,ID,NINTH CIRCUIT,25,09/30/94,1994-09-30,1994
MONTANA,MONTANA,MT,NINTH CIRCUIT,20,09/30/94,1994-09-30,1994
NEVADA,NEVADA,NV,NINTH CIRCUIT,2,09/30/94,1994-09-30,1994
OREGON,OREGON,OR,NINTH CIRCUIT,12,09/30/94,1994-09-30,1994
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,10,09/30/94,1994-09-30,1994
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,1,09/30/94,1994-09-30,1994
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,09/30/94,1994-09-30,1994
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,09/30/94,1994-09-30,1994
,TOTAL,,TENTH CIRCUIT,83,09/30/94,1994-09-30,1994
COLORADO,COLORADO,CO,TENTH CIRCUIT,12,09/30/94,1994-09-30,1994
KANSAS,KANSAS,KS,TENTH CIRCUIT,21,09/30/94,1994-09-30,1994
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,2,09/30/94,1994-09-30,1994
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,1,09/30/94,1994-09-30,1994
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,10,09/30/94,1994-09-30,1994
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,29,09/30/94,1994-09-30,1994
UTAH,UTAH,UT,TENTH CIRCUIT,2,09/30/94,1994-09-30,1994
WYOMING,WYOMING,WY,TENTH CIRCUIT,6,09/30/94,1994-09-30,1994
,TOTAL,,ELEVENTH CIRCUIT,60,09/30/94,1994-09-30,1994
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,5,09/30/94,1994-09-30,1994
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,3,09/30/94,1994-09-30,1994
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,1,09/30/94,1994-09-30,1994
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,11,09/30/94,1994-09-30,1994
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,9,09/30/94,1994-09-30,1994
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,0,09/30/94,1994-09-30,1994
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,1,09/30/94,1994-09-30,1994
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,23,09/30/94,1994-09-30,1994
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,7,09/30/94,1994-09-30,1994
,TOTAL,,TOTAL,1355,09/30/93,1993-09-30,1993
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,09/30/93,1993-09-30,1993
,TOTAL,,FIRST CIRCUIT,17,09/30/93,1993-09-30,1993
MAINE,MAINE,ME,FIRST CIRCUIT,3,09/30/93,1993-09-30,1993
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,5,09/30/93,1993-09-30,1993
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1,09/30/93,1993-09-30,1993
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,09/30/93,1993-09-30,1993
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,8,09/30/93,1993-09-30,1993
,TOTAL,,SECOND CIRCUIT,47,09/30/93,1993-09-30,1993
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,3,09/30/93,1993-09-30,1993
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,29,09/30/93,1993-09-30,1993
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,09/30/93,1993-09-30,1993
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,1,09/30/93,1993-09-30,1993
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,8,09/30/93,1993-09-30,1993
VERMONT,VERMONT,VT,SECOND CIRCUIT,6,09/30/93,1993-09-30,1993
,TOTAL,,THIRD CIRCUIT,26,09/30/93,1993-09-30,1993
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,2,09/30/93,1993-09-30,1993
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,3,09/30/93,1993-09-30,1993
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,3,09/30/93,1993-09-30,1993
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,15,09/30/93,1993-09-30,1993
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,3,09/30/93,1993-09-30,1993
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,09/30/93,1993-09-30,1993
,TOTAL,,FOURTH CIRCUIT,56,09/30/93,1993-09-30,1993
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,2,09/30/93,1993-09-30,1993
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,22,09/30/93,1993-09-30,1993
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,1,09/30/93,1993-09-30,1993
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,6,09/30/93,1993-09-30,1993
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,10,09/30/93,1993-09-30,1993
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,4,09/30/93,1993-09-30,1993
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,9,09/30/93,1993-09-30,1993
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1,09/30/93,1993-09-30,1993
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,1,09/30/93,1993-09-30,1993
,TOTAL,,FIFTH CIRCUIT,184,09/30/93,1993-09-30,1993
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,1,09/30/93,1993-09-30,1993
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,4,09/30/93,1993-09-30,1993
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,59,09/30/93,1993-09-30,1993
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,31,09/30/93,1993-09-30,1993
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,6,09/30/93,1993-09-30,1993
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,39,09/30/93,1993-09-30,1993
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,13,09/30/93,1993-09-30,1993
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,14,09/30/93,1993-09-30,1993
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,17,09/30/93,1993-09-30,1993
,TOTAL,,SIXTH CIRCUIT,139,09/30/93,1993-09-30,1993
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,6,09/30/93,1993-09-30,1993
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,9,09/30/93,1993-09-30,1993
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,18,09/30/93,1993-09-30,1993
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,35,09/30/93,1993-09-30,1993
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,25,09/30/93,1993-09-30,1993
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,24,09/30/93,1993-09-30,1993
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,12,09/30/93,1993-09-30,1993
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,7,09/30/93,1993-09-30,1993
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,3,09/30/93,1993-09-30,1993
,TOTAL,,SEVENTH CIRCUIT,189,09/30/93,1993-09-30,1993
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,12,09/30/93,1993-09-30,1993
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,45,09/30/93,1993-09-30,1993
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,14,09/30/93,1993-09-30,1993
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,21,09/30/93,1993-09-30,1993
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,32,09/30/93,1993-09-30,1993
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,19,09/30/93,1993-09-30,1993
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,46,09/30/93,1993-09-30,1993
,TOTAL,,EIGHTH CIRCUIT,287,09/30/93,1993-09-30,1993
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,18,09/30/93,1993-09-30,1993
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,16,09/30/93,1993-09-30,1993
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,12,09/30/93,1993-09-30,1993
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,10,09/30/93,1993-09-30,1993
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,37,09/30/93,1993-09-30,1993
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,12,09/30/93,1993-09-30,1993
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,17,09/30/93,1993-09-30,1993
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,70,09/30/93,1993-09-30,1993
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,48,09/30/93,1993-09-30,1993
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,47,09/30/93,1993-09-30,1993
,TOTAL,,NINTH CIRCUIT,193,09/30/93,1993-09-30,1993
ALASKA,ALASKA,AK,NINTH CIRCUIT,3,09/30/93,1993-09-30,1993
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,13,09/30/93,1993-09-30,1993
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,20,09/30/93,1993-09-30,1993
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,50,09/30/93,1993-09-30,1993
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,6,09/30/93,1993-09-30,1993
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,1,09/30/93,1993-09-30,1993
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,09/30/93,1993-09-30,1993
IDAHO,IDAHO,ID,NINTH CIRCUIT,36,09/30/93,1993-09-30,1993
MONTANA,MONTANA,MT,NINTH CIRCUIT,26,09/30/93,1993-09-30,1993
NEVADA,NEVADA,NV,NINTH CIRCUIT,2,09/30/93,1993-09-30,1993
OREGON,OREGON,OR,NINTH CIRCUIT,13,09/30/93,1993-09-30,1993
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,20,09/30/93,1993-09-30,1993
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,3,09/30/93,1993-09-30,1993
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,09/30/93,1993-09-30,1993
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,09/30/93,1993-09-30,1993
,TOTAL,,TENTH CIRCUIT,125,09/30/93,1993-09-30,1993
COLORADO,COLORADO,CO,TENTH CIRCUIT,24,09/30/93,1993-09-30,1993
KANSAS,KANSAS,KS,TENTH CIRCUIT,31,09/30/93,1993-09-30,1993
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,9,09/30/93,1993-09-30,1993
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,2,09/30/93,1993-09-30,1993
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,12,09/30/93,1993-09-30,1993
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,32,09/30/93,1993-09-30,1993
UTAH,UTAH,UT,TENTH CIRCUIT,11,09/30/93,1993-09-30,1993
WYOMING,WYOMING,WY,TENTH CIRCUIT,4,09/30/93,1993-09-30,1993
,TOTAL,,ELEVENTH CIRCUIT,92,09/30/93,1993-09-30,1993
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,10,09/30/93,1993-09-30,1993
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,4,09/30/93,1993-09-30,1993
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,0,09/30/93,1993-09-30,1993
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,6,09/30/93,1993-09-30,1993
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,15,09/30/93,1993-09-30,1993
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,6,09/30/93,1993-09-30,1993
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,3,09/30/93,1993-09-30,1993
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,38,09/30/93,1993-09-30,1993
