year,farms,sharecroppers,bankruptcies,bankruptcies_stam,agland,equity,assets,debt,net_cash_income,real_estate_debt,real_estate,deflator
1899,5620099,386085,1926,1926,,,,,,,,
1900,5737372,399678,2064,2064,,,,,,,,
1901,5799785,407001,1464,1464,,,,,,,,
1902,5862198,414321,1327,1327,,,,,,,,
1903,5924611,421641,977,977,,,,,,,,
1904,5987024,428961,884,884,,,,,,,,
1905,6049437,436281,832,832,,,,,,,,
1906,6111850,443601,844,844,,,,,,,,
1907,6174263,450921,1065,1065,,,,,,,,
1908,6236676,458241,835,835,,,,,,,,
1909,6299089,465561,797,797,,,,,,,,
1910,6361502,472881,849,849,40,34722000000,39847000000,5125000000,3009202000,,31770000000,
1911,6370187,482299,679,679,41,35464000000,40977000000,5513000000,2789293000,,32653000000,
1912,6378871,491720,837,837,42,36413000000,42508000000,6095000000,3009292000,,33535000000,
1913,6387555,501141,942,942,43,37577000000,44082000000,6505000000,3117299000,,35300000000,
1914,6396239,510562,1045,1045,44,37920000000,44657000000,6737000000,2868213000,,35300000000,
1915,6404923,519983,1246,1246,43,40304000000,47512000000,7208000000,3146385000,,37065000000,
1916,6413607,529404,1658,1658,46,44138000000,52317000000,8179000000,3939032000,,40595000000,
1917,6422291,538825,1906,1906,49,49676000000,59236000000,9560000000,5881770000,,44125000000,
1918,6430975,548246,1632,1632,53,54510000000,64844000000,10334000000,7433778000,,48538000000,
1919,6439659,557667,1207,1207,58,62202000000,74991000000,12789000000,7889575000,,58245000000,
1920,6448343,567088,997,997,69,52701000000,67602000000,14901000000,5634512000,,54715000000,
1921,6433002,579613,1363,1363,65,44174000000,58381000000,14207000000,2987781000,,47655000000,
1922,6417661,592139,3236,3236,57,43628000000,57588000000,13960000000,3428269000,,46773000000,
1923,6402320,604665,5940,5940,56,41975000000,55646000000,13671000000,4041350000,,44125000000,
1924,6386979,617191,7772,7772,54,42238000000,54903000000,12665000000,4343058000,,43243000000,
1925,6371640,629717,7872,7872,54,41809000000,54489000000,12680000000,5167205000,,43243000000,
1926,6355042,660467,7769,7769,52,40902000000,53278000000,12376000000,4704780000,,42360000000,
1927,6338444,691215,6296,6296,50,41362000000,53801000000,12439000000,4805772000,,42360000000,
1928,6321846,721963,5679,5679,49,42374000000,54890000000,12516000000,4779900000,,42360000000,
1929,6305248,752711,4939,4939,49,42568000000,54672000000,12104000000,5232755000,,42360000000,9.9
1930,6288648,783459,4644,4644,49,37402000000,48799000000,11397000000,3646723000,,38830000000,9.519
1931,6393390,771231,4023,4023,44,30136000000,40729000000,10593000000,2197555000,,32653000000,8.578
1932,6498130,759003,4849,4849,37,24356000000,33987000000,9631000000,1398342000,,27358000000,7.6
1933,6602870,746775,5917,5917,30,26795000000,35401000000,8606000000,2037872000,,28240000000,7.396
1934,6707610,734547,4716,4716,31,28839000000,37095000000,8256000000,3140452000,,29123000000,7.757
1935,6812350,722321,4311,4311,32,31364000000,39700000000,8336000000,3692425000,,30005000000,7.913
1936,6669240,686989,3646,3646,32,33212000000,41284000000,8072000000,4218407000,,30888000000,8.009
1937,6526130,651657,2482,2482,33,33268000000,41261000000,7993000000,4314056000,,30888000000,8.303
1938,6383020,616325,1800,1800,33,32487000000,40485000000,7998000000,3563913000,,30005000000,8.151
1939,6239910,580993,1426,1426,32,32633000000,41097000000,8464000000,3645176000,,30005000000,8.049
1940,6096799,545660,2678,2678,32,33624000000,42157000000,8688000000,3538854000,,30005000000,8.123
1941,6049273,526953,2367,2367,32,39906000000,48492000000,8706000000,5266501000,,33535000000,8.656
1942,6001747,508246,2048,2048,34,50671000000,58627000000,8062000000,8090506000,,37065000000,9.375
1943,5954221,489539,1151,1151,38,59786000000,67080000000,7294000000,10661533000,,42360000000,9.821
1944,5906695,470832,512,512,43,66961000000,73678000000,6758000000,11045137000,,47655000000,10.055
1945,5859169,452125,305,305,47,74566000000,81277000000,6730000000,11330904000,,53833000000,10.308
1946,5763768,432098,260,260,53,74011000000,81371000000,7365000000,13076580000,,60010000000,11.603
1947,5668367,412071,183,183,60,92808000000,100898000000,8079000000,15329452000,,65305000000,12.903
1948,5572966,392044,167,167,64,95985000000,105043000000,9025000000,14579825000,,67953000000,13.629
1949,5477565,372017,232,232,66,92888000000,102373000000,9485000000,13130167000,,66188000000,13.622
1950,5382162,351991,290,290,65,110722000000,121552000000,10830000000,12726963000,,86825814000,13.746
1951,5232225,333000,205,205,74,123610000000,136057000000,12447000000,14789193000,,79365109000,14.675
1952,5082288,314009,196,196,82,119802000000,133012000000,13210000000,14247469000,,87324547000,14.996
1953,4932351,295018,214,214,83,115792000000,128674000000,12882000000,14111149000,,88794331000,15.19
1954,4782416,276029,322,322,82,118949000000,132632000000,13683000000,12776109000,,87665782000,15.346
1955,4568033,245537,386,386,85,121940000000,137023000000,15083000000,12175655000,,90848726000,15.566
1956,4353650,215045,400,400,90,129956000000,145696000000,15740000000,12910862000,,95532700000,16.101
1957,4139267,184553,405,405,97,137433000000,154529000000,17096000000,11927342000,,102801000000,16.663
1958,3924884,154061,332,332,103,149970000000,168730000000,18760000000,13823135000,,108245000000,17.05
1959,3710503,123570,408,408,111,151569000000,172499000000,20930000000,12516350000,,116572000000,17.277
1960,3599974,98856,453,453,117,151904472000,174350138000,22445666000,12564034000,11309593000,123280000000,17.516
1961,3489445,74142,546,546,119,157493415000,181631733000,24138318000,13410787000,12318392000,129097000000,17.709
1962,3378916,49428,548,548,125,162205040000,188870449000,26665409000,13425691000,13488450000,134614000000,17.927
1963,3268387,24714,554,554,130,167134394000,196695336000,29560942000,13271078000,14981360000,142353000000,18.129
1964,3157857,,565,565,138,172081037000,204238278000,32157241000,13642689000,16850311000,150486000000,18.407
1965,3072336,,589,589,147,185006838000,220817624000,35810786000,14351575000,18915889000,161525000000,18.744
1966,2986815,,551,551,158,194799811000,234022906000,39223095000,16730465000,20696043000,171233000000,19.271
1967,2901294,,443,443,168,203866586000,246072706000,42206120000,14715389000,22613532000,180943000000,19.831
1968,2815773,,567,567,179,213239044000,257160621000,43921577000,15556776000,24729257000,189389000000,20.674
1969,2730250,,606,606,189,221402007000,267822833000,46420826000,17769096000,26415866000,195309000000,21.691
1970,2647003,,658,658,196,230322008000,278823015000,48501007000,18016802000,27238348000,202418000000,22.836
1971,2563756,,788,788,203,248935513000,301760581000,52825068000,17675033000,28826497000,217562000000,23.996
1972,2480509,,631,631,219,281833560000,339933247000,58099688000,22798715000,31379625000,243002000000,25.035
1973,2397262,,431,431,246,351725297000,418493949000,66768652000,35559754000,35188298000,298300000000,26.396
1974,2314013,,308,308,302,374509083000,449181770000,74672687000,34383496000,39563003000,335556000000,28.76
1975,2299953,,550,550,340,427282519000,510786259000,83503739000,29107712000,43750962000,383560000000,31.431
1976,2285893,,672,672,397,496579252000,590716642000,94137390000,29490380000,48484701000,456539000000,33.157
1977,2271833,,736,736,474,543103737000,651508183000,108404445000,27392075000,55834463000,509308000000,35.209
1978,2257775,,751,751,531,653878781000,777744402000,123865621000,32668735000,63424623000,601773000000,37.68
1979,2253575,,592,592,628,767162138000,914682365000,147520227000,32618339000,75778090000,706064000000,40.79
1980,2249375,,,,737,837990158000,1000422127000,162431968000,33202073000,85272367000,782820000000,44.48
1981,2245175,,,,819,820209991000,997897469000,177687478000,31557361000,93905270000,785562000000,48.658
1982,2240976,,,,823,778525420000,962488416000,183962996000,36848292000,96769083000,750023000000,51.624
1983,2210333,,,,788,773122345000,959300462000,186178117000,36989411000,98071338000,753422000000,53.658
1984,2179690,,,,801,708997897000,897811233000,188813336000,36044461000,101393312000,661750000000,55.564
1985,2149047,,,,713,603753369000,775907905000,172154536000,45582833000,94089977000,586183000000,57.341
1986,2118404,,,,640,570709437000,722017259000,151307822000,46490279000,84087662000,542408000000,58.504
1987,2087759,,6536,4812,599,617971250000,756478652000,138507402000,52637019000,75809859000,563679000000,59.935
1988,2005267,,2180,3033,632,655387312000,788525662000,133138349000,53700209000,70829423000,582311000000,62.036
1989,2022775,,1433,1711,668,682700656000,813731058000,131030402000,53503724000,68761420000,600132000000,64.448
1990,1990283,,1344,1340,683,709492710000,840608505000,131115795000,53832703000,67632973000,619149000000,66.841
1991,1957791,,1493,1349,703,712294769000,844167552000,131872783000,51392474000,67449880000,624769000000,69.057
1992,1925300,,1606,1615,713,736197006000,867762818000,131565813000,56900773000,67879337000,640791000000,70.632
1993,2201590,,1241,1427,736,774863241000,909174821000,134311580000,60766696000,68432731000,677578000000,72.315
1994,2197690,,898,964,798,795795242000,934724297000,138929055000,53675706000,69911852000,704138000000,73.851
1995,2196400,,924,902,844,822755805000,965741060000,142985255000,54478260000,71722937000,740491000000,75.393
1996,2190500,,1082,1059,887,854343471000,1002916227000,148572756000,60931513000,74422235000,769536000000,76.767
1997,2190510,,946,1004,926,894373531000,1051280908000,156907377000,60941678000,78513555000,808229000000,78.088
1998,2191360,,804,844,974,918728584000,1083354897000,164626313000,57740858000,83100263000,840422000000,78.935
1999,2192070,,824,829,1030,971130770000,1138826915000,167696145000,57934241000,87206087000,886981000000,80.065
2000,2172280,,402,731,1090,1039284942000,1203214765000,163929823000,57368156000,84723763000,946428000000,81.89
2001,2155680,,383,206,1150,1085261963000,1255926409000,170664446000,62054919000,88541011000,996242000000,83.755
2002,2158090,,484,365,1210,1063501473000,1250530486000,187029013000,50844330000,98118184000,1003710000000,85.04
2003,2126860,,710,771,1270,1141337842000,1322433781000,181095940000,72144196000,97396385000,1016350000000,86.735
2004,2112970,,108,297,1340,1294375503000,1491953134000,197577630000,83667362000,104161951000,1161560000000,89.118
2005,2098690,,378,288,1610,1500297692000,1709371086000,209073394000,86652925000,113886209000,1372630000000,91.985
2006,2088790,,354,353,1830,1690980120000,1906665033000,215684913000,68441772000,113365478000,1536640000000,94.812
2007,2204600,,364,387,2010,1721207215000,1961943172000,240735957000,77389274000,131710955000,1548990000000,97.34
2008,2184500,,345,314,2170,1744798785000,2005861900000,261063115000,84958664000,147901855000,1568550000000,99.218
2009,2169660,,544,420,2090,1708566527000,1976913105000,268346578000,74336227000,145979853000,1560560000000,100
2010,2149520,,723,660,2150,1891901551000,2170832085000,278930534000,96289995000,154065225000,1660110000000,101.226
2011,2131240,,635,713,2300,2024248045000,2318720178000,294472133000,123156342000,167190768000,1802700000000,103.315
2012,2109810,,510,582,2520,2340721952000,2638243076000,297521123000,135276964000,173368636000,2073660000000,105.22
2013,2102010,,395,426,2730,2460777100000,2776109588000,315332488000,135558298000,185160530000,2251000000000,106.917
2014,2085000,,360,394,2950,2604041446000,2949242800000,345201354000,131495417000,196780224000,2383150000000,108.838
2015,2068000,,407,356,3020,2553228721000,2909966762000,356738041000,104658778000,208769246000,2395670000000,109.999
2016,2060000,,461,459,3010,2492302197000,2868029933000,375727736000,91904926000,224364309000,2388480000000,111.484
2017,2050000,,501,501,3080,2441086774000,2836181244000,395094470000,93527578000,240738524000,2381310000000,113.742
