DATE,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13
2001-03-31,366841,260692,2961,12,103168,10005,5797,2770,12,1418,356836,254895,191,101750
2001-06-30,400394,293228,2832,160,104154,10330,6188,2614,160,1350,390064,287040,218,102804
2001-09-30,359518,250400,2442,194,106475,9537,5687,2274,194,1375,349981,244713,168,105100
2001-12-31,364921,250298,3171,17,111416,10013,5708,2959,17,1310,354908,244590,212,110106
2002-03-31,379012,265128,3022,17,110835,9775,5681,2761,17,1308,369237,259447,261,109527
2002-06-30,400686,286584,2731,137,111193,9695,5693,2477,137,1350,390991,280891,254,109843
2002-09-30,401306,280999,2717,151,117425,9433,5405,2472,151,1392,391873,275594,245,116033
2002-12-31,395129,275999,2772,179,116148,9500,5472,2548,179,1274,385629,270527,224,114874
2003-03-31,412968,290909,2487,162,119387,8814,5026,2245,162,1358,404154,285883,242,118029
2003-06-30,440257,317604,2599,279,119745,9331,5383,2348,279,1293,430926,312221,251,118452
2003-09-30,412989,292266,2268,74,118367,8446,5079,2033,74,1248,404543,287187,235,117119
2003-12-31,393348,275585,2032,195,115517,8294,5066,1806,195,1209,385054,270519,226,114308
2004-03-31,407572,290689,4735,18,112101,10566,4902,4455,18,1162,397006,285787,280,110939
2004-06-30,421110,308028,1993,10,111038,8249,5225,1779,10,1195,412861,302803,214,109843
2004-09-30,396438,279186,1596,9,115632,7574,4990,1383,9,1178,388864,274196,213,114454
2004-12-31,371668,259531,1796,71,110220,7778,5013,1543,71,1104,363890,254518,253,109116
2005-03-31,401149,294520,1722,99,104796,8063,5281,1521,99,1150,393086,289239,201,103646
2005-06-30,467333,362481,1574,109,103142,8736,6092,1384,109,1125,458597,356389,190,102017
2005-09-30,542002,429299,1535,83,111049,9476,6832,1310,83,1216,532526,422467,225,109833
2005-12-31,667431,570355,1955,87,95022,12798,9701,1692,87,1308,654633,560654,263,93714
2006-03-31,116771,65397,1412,84,49854,4086,2147,1291,84,540,112685,63250,121,49314
2006-06-30,155833,94614,1210,99,59899,4858,2940,1079,99,729,150975,91674,131,59170
2006-09-30,171146,99691,1332,97,69996,5284,3249,1192,97,716,165862,96442,140,69280
2006-12-31,177599,102391,1304,74,73815,5586,3567,1170,74,763,172013,98824,134,73052
2007-03-31,193641,117730,1406,104,74396,6280,4071,1283,104,817,187361,113659,123,73579
2007-06-30,210449,131513,1574,112,77241,6705,4333,1430,112,821,203744,127180,144,76420
2007-09-30,218909,132008,1583,71,85220,7167,4816,1410,71,844,211742,127192,173,84376
2007-12-31,226413,137612,1793,77,86924,7985,5420,1612,77,869,218428,132192,181,86055
2008-03-31,245695,158502,2012,81,85097,8713,5959,1812,81,858,236982,152543,200,84239
2008-06-30,276510,187396,1888,85,87124,9743,7043,1658,85,940,266767,180353,230,86184
2008-09-30,292291,195154,2712,89,94316,11504,7927,2485,89,983,280787,187227,227,93333
2008-12-31,301317,202118,3175,90,95905,12901,8872,2941,90,970,288416,193246,234,94935
2009-03-31,330477,233460,3679,102,93195,14319,9700,3431,102,1045,316158,223760,248,92150
2009-06-30,381073,276043,4348,139,100483,16014,10675,3965,139,1175,365059,265368,383,99308
2009-09-30,388485,276519,3505,155,108289,15177,10798,3060,155,1147,373308,265721,445,107142
2009-12-31,372203,263757,3613,148,104655,15020,10604,3176,148,1062,357183,253153,437,103593
2010-03-31,388148,282122,3733,163,102094,14607,10074,3293,163,1043,373541,272048,440,101051
2010-06-30,422061,309680,3370,194,108798,14452,10311,2859,194,1071,407609,299369,511,107727
2010-09-30,412380,289813,3440,202,118904,13957,9807,2916,202,1011,398423,280006,524,117893
2010-12-31,370080,257668,3148,164,109046,13030,9142,2682,164,989,357050,248526,466,108057
2011-03-31,366178,260953,3063,181,101955,12376,8615,2605,181,949,353802,252338,458,101006
2011-06-30,379790,274428,3008,166,102167,12304,8669,2567,166,881,367486,265759,441,101286
2011-09-30,348635,241965,2696,161,103802,11705,8388,2245,161,902,336930,233577,451,102900
2011-12-31,313775,213238,2723,127,97675,11149,7858,2313,127,839,302626,205380,410,96836
2012-03-31,322973,227678,2885,152,92173,10998,7387,2464,152,910,311975,220291,421,91263
2012-06-30,325693,230755,2581,142,92188,10374,7145,2225,142,836,315319,223610,356,91352
2012-09-30,298224,202336,2364,118,93386,9248,6357,2020,118,735,288976,195979,344,92651
2012-12-31,273878,182562,2479,98,88730,9231,6288,2131,98,706,264647,176274,348,88024
2013-03-31,272296,189083,2345,103,80737,8512,5703,1990,103,689,263784,183380,355,80048
2013-06-30,293188,204593,2403,107,86063,8874,5989,2028,107,728,284314,198604,375,85335
2013-09-30,267967,177490,2317,97,88039,8119,5314,1983,97,701,259848,172176,334,87338
2013-12-31,238138,157416,1901,88,78710,7556,5221,1641,88,584,230582,152195,260,78126
2014-03-31,238708,160292,1925,96,76375,6992,4633,1635,96,609,231716,155659,290,75766
2014-06-30,254859,174523,2166,113,78037,7283,4733,1842,113,576,247576,169790,324,77461
2014-09-30,231741,149952,1645,74,80053,6355,4344,1363,74,557,225386,145608,282,79496
2014-12-31,210590,133598,1482,77,75420,6219,4381,1238,77,510,204371,129217,244,74910
2015-03-31,213081,138141,1743,89,73076,6159,3986,1496,89,558,206922,134155,247,72518
2015-06-30,223377,146245,1775,116,75223,6166,4054,1474,116,504,217211,142191,301,74719
2015-09-30,212906,131895,2027,100,78868,6338,3973,1724,100,525,206568,127922,303,78343
2015-12-31,194947,118649,1684,102,74484,5973,3840,1423,102,582,188974,114809,261,73902
2016-03-31,201906,126430,1878,122,73430,6227,3885,1596,122,578,195679,122545,282,72852
2016-06-30,208871,132538,2298,135,73845,6537,3760,1996,135,591,202334,128778,302,73254
2016-09-30,199417,120549,1551,99,77191,5597,3639,1272,99,560,193820,116910,279,76631
2016-12-31,184019,110356,1542,105,71958,5666,3697,1287,105,519,178353,106659,255,71439
2017-03-31,201231,124271,1701,118,75122,5715,3604,1435,118,539,195516,120667,266,74583
2017-06-30,210342,133088,2180,159,74878,6366,3759,1883,159,528,203976,129329,297,74350
2017-09-30,194830,118483,1618,125,74594,5290,3302,1348,125,505,189540,115181,270,74089
2017-12-31,182455,110401,1929,99,70000,5727,3457,1668,99,477,176728,106944,261,69523
2018-03-31,192079,118877,1998,116,71068,5669,3355,1718,116,460,186410,115522,280,70608
2018-06-30,205638,131059,1578,135,72855,5479,3514,1318,135,501,200159,127545,260,72354
2018-09-30,192645,116603,1488,118,74399,5155,3315,1235,0,450,187490,113288,253,73949
2018-12-31,182450,108724,2006,129,71555,5855,3451,1782,0,457,176595,105273,224,71098
2019-03-31,191744,117951,1912,130,71734,5614,3402,1629,0,436,186130,114549,283,71298
2019-06-30,206339,132331,1752,164,72041,5799,3623,1503,0,458,200540,128708,249,71583
